id,ratings
19864,5
19865,1
19866,4
19867,5
19868,5
19869,3
19870,5
19871,3
19872,5
19873,5
19875,5
19876,4
19877,5
19878,1
19879,5
19880,4
19881,5
19882,5
19883,5
19884,5
19885,4
19886,3
19887,1
19888,5
19889,4
19890,1
19891,5
19892,2
19893,5
19894,5
19895,5
19896,4
19897,5
19898,4
19899,5
19900,5
19901,5
19902,5
19903,4
19904,3
19905,4
19906,1
19907,4
19908,5
19909,3
19910,4
19911,3
19912,5
19913,4
19914,5
19915,5
19916,5
19917,5
19918,5
19919,1
19920,3
19921,4
19922,4
19923,2
19924,5
19925,3
19926,5
19927,5
19928,5
19930,5
19931,2
19932,5
19933,5
19934,4
19935,3
19936,4
19937,5
19938,5
19939,5
19940,5
19941,5
19942,5
19943,3
19944,4
19946,4
19947,5
19948,3
19949,5
19950,4
19953,3
19954,4
19955,2
19956,5
19957,1
19958,1
19959,4
19960,5
19961,3
19962,5
19963,5
19964,3
19965,5
19966,4
19967,3
19968,5
19969,4
19970,4
19971,4
19972,1
19973,3
19974,4
19975,4
19976,2
19977,4
19978,5
19979,4
19980,5
19981,5
19982,4
19983,5
19984,5
19985,5
19986,5
19987,5
19988,3
19989,1
19990,3
19991,4
19992,5
19993,4
19994,1
19995,1
19996,5
19997,4
19998,5
19999,5
20000,1
20001,5
20002,3
20003,5
20004,3
20005,5
20006,3
20007,1
20008,5
20009,4
20010,5
20011,5
20012,1
20013,3
20014,5
20015,5
20016,4
20020,5
20021,3
20022,5
20024,5
20025,5
20026,5
20027,3
20028,3
20029,5
20030,3
20031,5
20032,5
20033,3
20034,5
20035,1
20037,5
20038,5
20039,5
20040,2
20041,4
20042,5
20043,5
20044,5
20045,4
20046,4
20047,4
20049,5
20050,3
20051,4
20052,4
20053,3
20054,5
20055,5
20056,5
20057,4
20058,5
20059,5
20060,5
20061,5
20062,4
20063,3
20064,4
20065,5
20066,5
20067,4
20068,4
20069,5
20070,1
20071,1
20072,4
20073,3
20074,5
20075,5
20076,5
20077,5
20078,5
20079,3
20080,3
20081,5
20082,1
20084,5
20085,4
20086,3
20087,2
20088,4
20089,3
20090,4
20091,3
20092,4
20094,5
20095,4
20096,5
20097,1
20098,5
20099,5
20100,5
20101,5
20102,5
20103,e
20104,2
20105,5
20106,4
20107,4
20108,3
20109,5
20110,4
20111,1
20112,5
20113,4
20116,5
20117,5
20118,3
20119,1
20120,3
20121,3
20122,e
20123,5
20124,5
20125,4
20126,4
20127,3
20128,5
20129,4
20130,5
20131,3
20132,4
20133,4
20134,4
20135,3
20136,5
20137,3
20138,3
20139,3
20140,5
20141,3
20142,2
20143,3
20144,3
20145,3
20146,3
20147,4
20148,4
20149,4
20150,4
20151,3
20152,5
20153,4
20154,4
20155,4
20156,5
20157,4
20158,1
20159,5
20160,5
20161,3
20162,5
20163,5
20164,3
20165,1
20166,3
20167,4
20168,5
20169,1
20170,5
20171,4
20172,5
20173,4
20174,4
20175,1
20176,5
20177,5
20178,5
20179,5
20180,5
20181,5
20182,1
20183,2
20186,5
20187,3
20188,2
20189,e
20190,5
20191,5
20193,3
20194,5
20195,4
20196,3
20197,4
20198,3
20199,3
20200,3
20201,5
20202,5
20203,2
20204,3
20205,1
20206,5
20207,3
20208,5
20209,4
20210,5
20211,5
20212,5
20213,1
20214,5
20215,5
20216,4
20217,3
20218,3
20219,3
20220,5
20221,5
20222,5
20223,3
20225,1
20226,1
20227,5
20228,2
20231,1
20232,1
20233,5
20235,3
20236,5
20237,1
20238,5
20239,4
20240,4
20241,3
20242,5
20243,5
20244,5
20245,5
20246,5
20248,4
20249,5
20250,4
20251,3
20252,5
20254,4
20255,3
20256,3
20257,4
20258,3
20259,3
20260,5
20261,5
20262,4
20263,4
20264,5
20265,5
20266,4
20267,4
20268,5
20269,1
20270,4
20271,5
20273,5
20274,5
20275,3
20276,4
20277,3
20278,5
20279,4
20280,e
20282,5
20283,5
20284,5
20285,4
20286,5
20287,5
20288,5
20289,3
20290,5
20291,1
20292,4
20293,2
20295,5
20296,1
20297,5
20298,5
20299,3
20300,5
20301,4
20302,4
20303,2
20304,3
20308,3
20309,3
20310,5
20311,5
20312,4
20313,4
20314,1
20315,4
20316,5
20317,4
20318,3
20319,5
20320,4
20321,5
20322,3
20323,3
20324,3
20325,3
20326,5
20327,5
20328,3
20329,4
20330,4
20331,5
20332,4
20333,5
20334,2
20335,5
20336,2
20337,5
20338,4
20339,1
20340,5
20341,2
20342,5
20343,5
20344,5
20345,1
20346,1
20347,5
20348,1
20349,5
20350,3
20351,5
20354,5
20355,3
20356,1
20357,4
20358,5
20359,5
20360,5
20363,4
20364,2
20365,5
20366,5
20367,1
20368,5
20370,2
20371,4
20372,5
20375,4
20376,5
20377,3
20378,4
20379,5
20380,4
20381,5
20382,5
20383,3
20385,f
20387,5
20388,5
20389,4
20390,1
20391,4
20392,5
20394,5
20395,3
20396,3
20397,4
20398,5
20399,4
20400,5
20402,3
20403,2
20404,5
20405,4
20406,4
20407,3
20408,5
20410,4
20411,3
20412,5
20413,4
20414,4
20415,4
20416,5
20417,5
20418," "
20419,4
20421,2
20422,3
20423,5
20424,5
20425,4
20426,4
20427,2
20428,5
20429,4
20430,4
20431,5
20432,5
20433,4
20434,4
20435,4
20436,5
20437,4
20438,5
20439,3
20440,4
20441,2
20442,4
20443,4
20444,1
20445,4
20446,3
20447,4
20448,1
20449,5
20450,5
20451,5
20452,5
20453,5
20454,3
20455,5
20456,3
20457,4
20458,5
20459,5
20460,5
20461,4
20462,1
20463,3
20464,4
20465,5
20466,5
20467,3
20468,4
20469,3
20470,5
20471,2
20472,5
20473,5
20474,5
20475,2
20476,3
20477,1
20478,5
20479,3
20480,4
20481,4
20483,4
20484,4
20485,5
20486,5
20487,5
20488,5
20489,3
20490,4
20491,3
20492,2
20493,5
20494,5
20495,5
20496,1
20497,4
20498,4
20499,5
20500,5
20501,5
20502,5
20503,5
20504,5
20505,5
20506,1
20507,5
20508,4
20509,5
